text,label_words,label_numbers
스님들 사람들 안보이는데서는 고기 먹는거 아냐?,IMMORAL_NONE,[0]
요즘 계속 체한것 때문에 고생이래 음식을 먹을 수 있을까,IMMORAL_NONE,[0]
땀 구멍이 좀 크네요.. 눈이 작으니 아이라인을 크게 그려야 겠어요.,IMMORAL_NONE,[0]
확실히 광주보다는 대구가 훠얼씬 살기 좋은거 같아 ㅋㅋ,IMMORAL_NONE,[0]
내가 머리 기르면 여자처럼 보일까.,IMMORAL_NONE,[0]
이번에 공채 채용할 때 대졸만 뽑더라,IMMORAL_NONE,[0]
아직 어린 나이인데 생각하는 것이 엄청 신중하고 사려가 깊네,IMMORAL_NONE,[0]
신동은 살 빼기 전이 더 잘생겼어,IMMORAL_NONE,[0]
컴퓨터공학 전공만 지원 가능,IMMORAL_NONE,[0]
너는 회도 못먹어서 어떡하냐?,IMMORAL_NONE,[0]
4년제랑 전문대 졸이랑 당연히 투자한 시간이 다른데 연봉 차이는 당연하다고 생각해.,IMMORAL_NONE,[0]
경주는 경상도에 있는거죠? 전라도나 경기도에 있는 도시가 아니고요? 제가 알고 있는 것이 확실 한가요? 대답해 주세요.,IMMORAL_NONE,[0]
에티오피아인은 6.25 전쟁에 UN군으로 전투병을 파병한 아프리카 사람들입니다.,IMMORAL_NONE,[0]
다리가 없는 사람들은 일상생활하는게 진짜 힘들꺼 같지않니,IMMORAL_NONE,[0]
술도 못마시면서 술자리는 왜 와요?,IMMORAL_NONE,[0]
넌 성형해도 기본적인 콧대자체가 낮아서 원하는만큼은 어려울 것 같아.,IMMORAL_NONE,[0]
술 안마시는 사람들은 인생 덜 살아본거,IMMORAL_NONE,[0]
솔직히 서울에 모든 문화시설이 모여있는 게 맞긴 함 지방 사람이면 못 누리는 게 많여,IMMORAL_NONE,[0]
소세지랑 바나나랑 오이랑 뭐가 더 좋냐,IMMORAL_NONE,[0]
성균관대 졸업했다던데 왜 두산에 입사를 했대? 삼성에나 가지.,IMMORAL_NONE,[0]
상추를 고기없이 먹는다니 무슨 맛으로 그걸 먹어.,IMMORAL_NONE,[0]
살만 좀 빼면 예쁠텐데,IMMORAL_NONE,[0]
분당사는 애들은 꼭 성남이 아니라 분당산다고 그러더라? 아니 분당도 성남에 속한 곳인데 꼭 그렇게 차별해서 부르는듯.  근데 성남이 좀 많이 떨어지는 경향은 있지. 거기가 원래 판자촌 살던 사람들 강제이주 당해서 정착한 곳이라는데 그래서 아직도 성남쪽에는 조폭들도 있고 성매매도 활발하대. 그러니까 신도시인 분당 사는 애들이 구별해서 말하고싶어하는거 같기도하고,IMMORAL_NONE,[0]
버스나 전철에서 싸우는 사람들 대부분이 노인네들이라니까,IMMORAL_NONE,[0]
밀가루음식에는 방부재가 많이 들어서 몸에 않좋아!,IMMORAL_NONE,[0]
술도 안마시고 재미없는 사람이네.,IMMORAL_NONE,[0]
먹을 줄 모르네,IMMORAL_NONE,[0]
