text,label_words,label,predicted_labels
맞노 좆돌은 와꾸상폐 폐기물나이되서도 흉자들이 앵나오게 빨아준다이니야 사생대회 놈딱 기대된다이기,"Age, Appearance","[9, 3]","['3', '9']"
라떼는 군대에서 폰쓰는건 생각도 못했는데,IMMORAL_NONE,[0],"['0', '1']"
컴퓨터공학 전공만 지원 가능,IMMORAL_NONE,[0],['1']
철없는 목사 할배 할매들아. 정신 좀 차려라. 복음을 전파하러 했지 코로나를 전파하나? 그것도 개척해 가면서,Religion,[6],['6']
너 비빔밥에 고추장 넣어 먹어?,IMMORAL_NONE,[0],"['1', '5']"
늙은남자는 사회악이다. 생각이란게 없다.,Age,[9],['9']
홍통일체 개쌍도 새끼들 부심좀 부리지마라 좆같은 빨갱이새끼들아 ㅉㅉㅉ노무현 문재인 개쌍도^^,Origin,[7],['7']
이슬람여자는 이슬람 남자한테만 결혼함.즉 넌 개슬람 된다는 뜻임,Religion,[6],"['5', '6']"
비행기타고 날아갈 시간에 좆크기 늘리는 방법이나 연구하지 역시 세계망신은 한남틀딱이 다 시키노,Age,[9],['9']
상폐남이 남의일이라고 주둥이를 놀리고 자빠졌노. 심지어 제주도도 안사는놈이,Age,[9],"['5', '9']"
지금도 헬인데 저새끼들 창궐하면 그냥 아수라장임,profanity,[2],['0']
네 다리 몽둥이를 부러뜨려서 장애인이 되어 봐야 그딴 말을 안 하겠지?^^,Disabled,[4],['4']
1차원적 머가리. 뚝배기 존나게 깨고싶노,profanity,[2],['1']
너 개장애인 되서 니 년 집 풍비박산 나길 바랄게,Disabled,[4],['0']
그냥 저기 강원도쪽에 조선족특별자치구 만들어서 못나오게 했으면좋겠다,Origin,[7],['7']
비방이라니 입 찢어지고 싶냐?,VIOLENCE,[10],['1']
따먹힐수만 있으면 에이즈각 성병각 100퍼라도 부랄딸랑이는게 자지다 이기야,Gender,[8],['8']
"1천년이상지배층이 경상도민들이다고조선~3국통일한 '경북=신라'이래로 대한민국=경상도,경상도=대한민국이다대한민국상류층=경상도=최상류층언어맞다.",Origin,[7],['7']
쌍도 어린이들이 라도 어린이들보다 든든하노,Origin,[7],['7']
서브 오기 전에 쌀 자신 있는데.,SEXUAL,[11],"['1', '5']"
이언주가 말하고 틀딱 들이 받네. 극우 티키타카 라고 불어야 하나? ㅎㅎ,Age,[9],['9']
솔직히 외모 귀엽고 성격 착하고 몸땡이 개좋고.. 이런 남친 있음 부모가 죽을죄 져도 걍 사귐,Appearance,[3],"['1', '3']"
이거 주작이라는 개노잼ㅋㅋㅋㅋ 사연도 조낸 이상하고 ㅂㅅ같음,Disabled,[4],"['4', '5']"
요즘 한남발 주작 자료들 보면 유독 스시남이랑 조사치 바꿔치기 함 ㅋㅋㅋ 한남충들 하나같이 ㅋㅋ 세계 여러나라 중에서도 진심 스시남한테 자격지심 유독 앵나 심해 ㅋㅋㅋㅋ,Racism,[5],['5']
홍자매 재밌기만하던데ᆢ 왜 안티들이 있는지ᆢ보다가 체널 돌리면되요ᆢ요즘 일반인들도 성형하는데ᆢ어제 홍진영짜장면~~완전 ㅋㅋ,Appearance,[3],['3']
똥푸짐 애미가 똥뚜깐에서 똥싸다응애응애 얻어걸린 계집인지 사내인지 디진 애미 똥집뚫고똥푸짐한 이 세상에 태어났다.온 세상에 똥내가득 사랑가득 에이즈가득레인보우 칼라똥 함께 채워요♥♥♥♥♥,Gender,[8],['8']
"인정, 그런 여자들은 인생 자체가 노답이라 엮이지 않는 게 좋음.",CENSURE,[1],['1']
3번 테러용의자 저새낀 뭔데 폭탄만들라고 고대 설대 대학원 다녔냐,profanity,[2],['0']
홍어들은 바다로 이동하면 안됨?,Origin,[7],['7']
밥상에 초록색이 하나도 없네 이렇게 먹으면 살찐다?,IMMORAL_NONE,[0],['1']
진짜 하나같이 경상도 관상ㅋㅋㅋㅋㅋ,Origin,[7],['7']
난 homosexual을 지지하는 heterosexual인데 솔직히 저들의 way to express는 좀 seriously 문제가 있다고 생각한다,Gender,[8],['8']
클럽도 아닌데  복장 보면 학부모 꼬실려는 태세다.,CENSURE,[1],['1']
길거리에서 야스 한 횟수 물어보는 대일본 ㅋㅋ,SEXUAL,[11],"['1', '5']"
선민의식에 취한 문신병자 586꼰대들 쫄리냐?ㅋㅋ 빼액빼액 거리는게 개쫄리나보네ㅋㅋ,Age,[9],['1']
이새낀 말로하면 들을생각을 안하지?,"profanity,VIOLENCE","[2, 10]",['2']
다음에 만나면 진짜 죽는다 너,VIOLENCE,[10],['1']
얼굴좀 어떻게 모자이크라도제발 부탁드립니다 밥맛없어요,Appearance,[3],['3']
경상도 사람 몇번 만나봤는데 억양도 쎄고 말도 빠르시더라 같이 밥먹으러 가서도 빨리빨리 하시는 느낌?,IMMORAL_NONE,[0],['7']
전자발찌 끊으면 자동으로 폭발해서 뒤지도록 설계해야지.,VIOLENCE,[10],['1']
너는 학점이 좋아서 그런지 교수님과의 관계는 좋은데 교우 관계에는 장애가 있구나.,Disabled,[4],['0']
정말 정말 이나라 이땅 전세계작으로 동성애가 자리잡지 못하길 원합니다!! 코로나로 인한 여파두 넘 크네요!!,Gender,[8],['8']
한번만 더 들이밀면 콘서트장 가서 테러해버릴 거야,VIOLENCE,[10],['1']
그런데 삼댐바스는 리얼 큰 듯ㅋㅋ 몸매는 인정,SEXUAL,[11],['0']
다문화가 아니라 다민족이다.다민족에서 중국은 제외하던가 최소화해야 한다.트로이의 목마다.,Racism,[5],['5']
마기꾼이 판 치는 세상이야 아주,CENSURE,[1],['1']
게이인게 부끄러우면 그런걸 하지마 ㅡㅡ,Gender,[8],['8']
맞지 그 정도 볼륨이면 B급 정도는 되지,SEXUAL,[11],['1']
똥처먹는것도 성소수자라 할기세네,Gender,[8],['8']
이러고도 무사할 줄 알았어? 죽여줄까?,VIOLENCE,[10],"['1', '5']"
ㅋㅋㅋ 탈세하려고 그렇겠지?,CENSURE,[1],"['1', '5']"
욜라 못생겼어...제발 그만 좀,Appearance,[3],['3']
이새끼 조선족 같다. 은근히 한국은 사기꾼 나라다라고 까는중임. 조선족새끼,Racism,[5],['5']
부사관 장교도 가지마 그럼 씨발,profanity,[2],['5']
이정도면 폐병 걸려봐야 정신차릴 듯ㅋㅋ,CENSURE,[1],"['1', '9']"
29살 늙은이 써서 뭐하려고 그럼? 조이 예리 슬기 웬디 같은 풋풋한 애들 쓰지,Age,[9],['9']
항문성교 군형법 폐지는 딸을 군대에 보내는것과 같다 내 아들 군대 못보낸다,Gender,[8],['8']
곧 따먹을 수 있을 각,SEXUAL,[11],['1']
제발 전라도 _()_...제발 전라도 _()_...제발 전라도 _()_...제발 전라도 _()_...,Origin,[7],['7']
뭐랄까 섹시하다기보다는 야하게 생겼는데 그렇다고 천박하진 않은...,SEXUAL,[11],['8']
그래서 이게지금 좆센 다문화정책이란말이냐?,Racism,[5],['5']
배부른새끼들이네 미국 유럽 이런데 말고 아프리카 동남아로 이민가라면 안갈새끼들이,profanity,[2],['5']
그럼그렇지 시발 ㅋㅋ,profanity,[2],['2']
그런건 필요 없고 그냥 죽어 너가 죽어서 이 일 이슈가 되면 법이 사라지던 하겠지,VIOLENCE,[10],['1']
틀딱놈들 목소리만 ㅈㄴ 크지 정작 몆마디하면 쫄아서 쫄무륵되놐ㅋㅋ 노약석에서 ㅈㄴ 패야된다 ^~^,Age,[9],['9']
서울시에 저런 올바른 공무원도 있네.동성연애자들이 무슨 성역인듯 반대하면 무조건 인권침해라는 프레임을 덮어씌우는데 공무원도 자기의사를 표현할 권리가 있다. 왜동성연애자만 표현의 자유가 있고 반대하는 사람은 표현의 자유가 없나? 나도 싫다고 표현할 자유가 있다,Gender,[8],['8']
이혼해라 나이 쳐먹은놈들아 빨리죽어줘라 새키몆마리이나 깐냐? 요즘노인놈 똥고집만 부려요 그러니 할아버지와 할마니놈 몽둥이로 패야합니다,Age,[9],['9']
커밍아웃이랑 단어가 동성애자들이 저작권 걸어둔건가? ㅈㄹ을 하네,Gender,[8],['8']
자들자들 어차피 한남들 클론 아니노? 누가 그려도 저 면상 그대로노,Appearance,[3],['3']
의학계에서도 게이를 질병으로 보는 시선이 있지 않아?,IMMORAL_NONE,[0],['8']
혹시 초딩이야? 프사가 되게 귀엽다 ㅎㅎ,IMMORAL_NONE,[0],['1']
광주는 진짜 강간이 패시브임.,Origin,[7],['7']
돼지새끼 존나 쌔네,profanity,[2],['0']
여자 이성애자가 레즈를 보면 남자 이성애자가 게이 보는것처럼 혐오감 느끼는지 궁금하네 아는 사람??,Gender,[8],['8']
ㅈ밥이 내가 니 조동이를 찢어줄게,VIOLENCE,[10],"['1', '5']"
한남기준 패륜욕보다 심한게 고추크기 물어보는거노ㅋㅋㅋㅋㅋ국산남성분들 음경왜소장애를 인정하고 빨리 재기합시다,Appearance,[3],['8']
이새끼 짱깨+홍어 2세임ㅋ,"Racism, Origin","[5, 7]","['5', '7']"
이쁜여자 모유 맛은 다르냐? 이쁜 스시녀 모유맛이 어떨까 궁금하다,SEXUAL,[11],['0']
정신병원에 처넣어야겠어,Disabled,[4],['0']
꼰대저거 개새끼인게,Age,[9],['9']
다이어트를  꼭  해야 되는건  아니지만  필요한건  맞죠,IMMORAL_NONE,[0],"['1', '6']"
확 불질러 버릴거야,VIOLENCE,[10],['1']
콱시 이걸로 쳐버릴까보다,VIOLENCE,[10],['0']
많은 시민들이 오가는 거리에서 더러운 동성애 축제를 즐기는 건 집단이기주의다,Gender,[8],['8']
