text,label_words,label_numbers,flag,is_flagged,changed_text
너 천문학과 나왔으니까 저거 금성이냐 목성이냐?,IMMORAL_NONE,[0],False,False,너 천문학과 나왔으니까 저거 금성이냐 목성이냐?
화장은 왜 안하고 출근해요?,IMMORAL_NONE,[0],False,False,화장은 왜 안하고 출근해요?
대학교는 꼭 나오지 않아도 돼,IMMORAL_NONE,[0],False,False,대학교는 꼭 나오지 않아도 돼
호모 호모 하지 마세요. 호모사피엔스 기분 나빠요.,IMMORAL_NONE,[0],False,False,호모 호모 하지 마세요. 호모사피엔스 기분 나빠요.
상대방의 입장에서 생각하고 말합시다.,IMMORAL_NONE,[0],False,False,상대방의 입장에서 생각하고 말합시다.
지나가다가 마스크 벗고 담배 피는 사람들 보면 피해서 가는 편입니다. 마스크도 문제지만 담배냄새가 머리카락에 너무 잘 베여서 싫어요.,IMMORAL_NONE,[0],False,False,지나가다가 마스크 벗고 담배 피는 사람들 보면 피해서 가는 편입니다. 마스크도 문제지만 담배냄새가 머리카락에 너무 잘 베여서 싫어요.
사고로 하반신마비가 되겠네요,IMMORAL_NONE,[0],False,False,사고로 하반신마비가 되겠네요
제주도 여행 가고 싶다,IMMORAL_NONE,[0],False,False,제주도 여행 가고 싶다
춤만 잘추면 됐지,IMMORAL_NONE,[0],False,False,춤만 잘추면 됐지
인천 이음카드 10% 캐쉬백이었는데 20%로 상향됐대요. 서울은 최대 10%라고 하던데 인천 최고인 것 같아,IMMORAL_NONE,[0],False,False,인천 이음카드 10% 캐쉬백이었는데 20%로 상향됐대요. 서울은 최대 10%라고 하던데 인천 최고인 것 같아
정 속이 안좋으면 아예 아무것도 먹지 않는게 더 좋아.,IMMORAL_NONE,[0],False,True,속이 좋지 않다면 식사를 잠시 피하는 것이 더 좋습니다.
노인분들께 그런말을 하다니...,IMMORAL_NONE,[0],False,False,노인분들께 그런말을 하다니...
미국마트에 데오도란트가 진짜 종류별로 많은 이유가 있었음. 확실히 미국가면 한국보다 사람들한테서 땀냄새 잘남,IMMORAL_NONE,[0],False,False,미국마트에 데오도란트가 진짜 종류별로 많은 이유가 있었음. 확실히 미국가면 한국보다 사람들한테서 땀냄새 잘남
누군가를 비하할 의도로 병신이라는 단어를 쓴다는 건 평소 장애인을 어떻게 생각하는지 보여주는 언행이라고 봄,IMMORAL_NONE,[0],False,True,누군가를 모욕할 목적으로 부적절한 단어를 사용하는 것은 그 사람의 장애인에 대한 인식을 드러내는 행동이라고 생각합니다.
의외로 유럽지역에 흑인들도 꽤 많이 거주하고 있던데? 특히 내가 영국 갔을때 런던에도 흑인 거주지가 꽤 많아서 신기했어.,IMMORAL_NONE,[0],False,False,의외로 유럽지역에 흑인들도 꽤 많이 거주하고 있던데? 특히 내가 영국 갔을때 런던에도 흑인 거주지가 꽤 많아서 신기했어.
늙고싶어서 늙는 사람이 어딨어.. 니들도 다 나이 먹고 늙는다..,IMMORAL_NONE,[0],False,True,나이를 드는 것은 자연스러운 일이야. 우리 모두 언젠가는 나이가 들게 되니까 서로 이해하고 존중하면 좋겠어.
낼 마트 기저귀 엄청 세일함 기저귀 사러온 엄마들로 마트 터져 나갈지도 모르니까 다른 날 이용해,IMMORAL_NONE,[0],False,False,낼 마트 기저귀 엄청 세일함 기저귀 사러온 엄마들로 마트 터져 나갈지도 모르니까 다른 날 이용해
밥먹을때 천천히 먹는 습관이 좋은거같아요,IMMORAL_NONE,[0],False,False,밥먹을때 천천히 먹는 습관이 좋은거같아요
코로나 검사를 받으러 갔는데 문진에서 국적을 표시하는 데가 있더라. 같이 간 친구가 자기는 이중국적인데 성인이 되면 국적을 선택해야 한다고 말하더라구. 국적 선택이 아무때나 하는 것이 아니었나봐?,IMMORAL_NONE,[0],False,False,코로나 검사를 받으러 갔는데 문진에서 국적을 표시하는 데가 있더라. 같이 간 친구가 자기는 이중국적인데 성인이 되면 국적을 선택해야 한다고 말하더라구. 국적 선택이 아무때나 하는 것이 아니었나봐?
다음생에는 미국인으로 태어나고싶다,IMMORAL_NONE,[0],False,False,다음생에는 미국인으로 태어나고싶다
요즘 젊은 아빠들이 많아서 보기좋네,IMMORAL_NONE,[0],False,False,요즘 젊은 아빠들이 많아서 보기좋네
다 자기 하기 나름이지 그런 거 쫌 따지지 말고 복세편살하자 좀,IMMORAL_NONE,[0],False,False,다 자기 하기 나름이지 그런 거 쫌 따지지 말고 복세편살하자 좀
일본이 근대화에 일찍 성공했지.,IMMORAL_NONE,[0],False,False,일본이 근대화에 일찍 성공했지.
일본 여행에서 먹은 초밥이 맛있었어.,IMMORAL_NONE,[0],False,False,일본 여행에서 먹은 초밥이 맛있었어.
일본 사람들은 섬에 살고 있기 때문에 해산물들을 좋아합니다.,IMMORAL_NONE,[0],False,False,일본 사람들은 섬에 살고 있기 때문에 해산물들을 좋아합니다.
한국어 너무 잘하세요!,IMMORAL_NONE,[0],False,False,한국어 너무 잘하세요!
흑인피부처럼 탄력있고 부드럽네요. 부럽다.,IMMORAL_NONE,[0],False,False,흑인피부처럼 탄력있고 부드럽네요. 부럽다.
"잘 생긴 남자들을 옛날에는 기생 오래비같다고 비하했지만, 요즘은 그렇지 않다. 오히려 오늘날에는 그런 얼굴을 미남으로 쳐준다. 마찬가지로 키가 큰 여자를 왜장녀 같다고 흉봤지만, 현대는 키가 커야 미인이다. 미의 기준은 시대에 따라 조금씩 변한다.",IMMORAL_NONE,[0],False,False,"잘 생긴 남자들을 옛날에는 기생 오래비같다고 비하했지만, 요즘은 그렇지 않다. 오히려 오늘날에는 그런 얼굴을 미남으로 쳐준다. 마찬가지로 키가 큰 여자를 왜장녀 같다고 흉봤지만, 현대는 키가 커야 미인이다. 미의 기준은 시대에 따라 조금씩 변한다."
친구가 교통사고를 당해 다리를 다쳐서 같이 병원에 다녀왔다,IMMORAL_NONE,[0],False,True,친구가 교통사고로 다리를 다쳐서 함께 병원에 다녀왔다.
입사 동기이지만 A씨는 고졸이라는 이유로 진급 대상자가 아니래,IMMORAL_NONE,[0],False,False,입사 동기이지만 A씨는 고졸이라는 이유로 진급 대상자가 아니래
