,is_flagged,changed_text
0,False,너 천문학과 나왔으니까 저거 금성이냐 목성이냐?
1,False,화장은 왜 안하고 출근해요?
2,False,대학교는 꼭 나오지 않아도 돼
3,False,호모 호모 하지 마세요. 호모사피엔스 기분 나빠요.
4,False,상대방의 입장에서 생각하고 말합시다.
5,False,지나가다가 마스크 벗고 담배 피는 사람들 보면 피해서 가는 편입니다. 마스크도 문제지만 담배냄새가 머리카락에 너무 잘 베여서 싫어요.
6,False,사고로 하반신마비가 되겠네요
7,False,제주도 여행 가고 싶다
8,False,춤만 잘추면 됐지
9,False,인천 이음카드 10% 캐쉬백이었는데 20%로 상향됐대요. 서울은 최대 10%라고 하던데 인천 최고인 것 같아
10,True,속이 좋지 않다면 식사를 잠시 피하는 것이 더 좋습니다.
11,False,노인분들께 그런말을 하다니...
12,False,미국마트에 데오도란트가 진짜 종류별로 많은 이유가 있었음. 확실히 미국가면 한국보다 사람들한테서 땀냄새 잘남
13,True,누군가를 모욕할 목적으로 부적절한 단어를 사용하는 것은 그 사람의 장애인에 대한 인식을 드러내는 행동이라고 생각합니다.
14,False,의외로 유럽지역에 흑인들도 꽤 많이 거주하고 있던데? 특히 내가 영국 갔을때 런던에도 흑인 거주지가 꽤 많아서 신기했어.
15,True,나이를 드는 것은 자연스러운 일이야. 우리 모두 언젠가는 나이가 들게 되니까 서로 이해하고 존중하면 좋겠어.
16,False,낼 마트 기저귀 엄청 세일함 기저귀 사러온 엄마들로 마트 터져 나갈지도 모르니까 다른 날 이용해
17,False,밥먹을때 천천히 먹는 습관이 좋은거같아요
18,False,코로나 검사를 받으러 갔는데 문진에서 국적을 표시하는 데가 있더라. 같이 간 친구가 자기는 이중국적인데 성인이 되면 국적을 선택해야 한다고 말하더라구. 국적 선택이 아무때나 하는 것이 아니었나봐?
19,False,다음생에는 미국인으로 태어나고싶다
20,False,요즘 젊은 아빠들이 많아서 보기좋네
21,False,다 자기 하기 나름이지 그런 거 쫌 따지지 말고 복세편살하자 좀
22,False,일본이 근대화에 일찍 성공했지.
23,False,일본 여행에서 먹은 초밥이 맛있었어.
24,False,일본 사람들은 섬에 살고 있기 때문에 해산물들을 좋아합니다.
25,False,한국어 너무 잘하세요!
26,False,흑인피부처럼 탄력있고 부드럽네요. 부럽다.
27,False,"잘 생긴 남자들을 옛날에는 기생 오래비같다고 비하했지만, 요즘은 그렇지 않다. 오히려 오늘날에는 그런 얼굴을 미남으로 쳐준다. 마찬가지로 키가 큰 여자를 왜장녀 같다고 흉봤지만, 현대는 키가 커야 미인이다. 미의 기준은 시대에 따라 조금씩 변한다."
28,True,친구가 교통사고로 다리를 다쳐서 함께 병원에 다녀왔다.
29,False,입사 동기이지만 A씨는 고졸이라는 이유로 진급 대상자가 아니래
30,False,제주 방언은 알아듣기 힘들지만 고유문화유산으로써 보존해야할 가치가 있어.
