text,label,predicted_labels
"""이건 종교탄압이 아닙니다 신천지는 종교가 아니고 그저 정신병자 집단이니까요""",['Disabled'],"['Disabled', 'Religion']"
"조기 성애화, 동성애 조장 교육이 이 어린 아이들 때부터 시작이 되네요. 서울시 학생인권조례, 인천 학생 구성원 인권 조례에도 3세 부터 이런 성인지 교육을 시킨다고 해서 우려하고 있는데, 정말 걱정입니다. 부모인 우리들이 정신 바짝 차리고, 반대의견 내야 겠습니다.",['Gender'],[]
ㅇㅏ니 도대체 이런건 왜 자꾸 기사로 뜨는거야. 여긴 이슬람국가가 아니에요 애굶는거 같으면 부모는ㅈ뭐하고 있나요,"['Racism', 'Religion']",['Religion']
동성애는 부적절한거 맞아요. 제발 정상적으로 삽시다.,['Gender'],['Gender']
그래서 어제 바로 싸버렸잖아 ㅋㅋ,['SEXUAL'],[]
동성애자는 아니지만 동성애 인정한다. 그리고 성바꾸는 사람 이것도 본인 자유니깐 인정하고 이해하려고 노력한다. 근데 이건 뭐냐 그냥 억지 부리고 떼쓰는거로밖에 안보인다.  수술하고 여군 시험 봤어야지 ㅂㅅ같은 새키,['Gender'],['Gender']
내 남친 소추인데 약 먹고 강직도 지려버림,['SEXUAL'],[]
양키충들도 루저페이 강요하고 유럽쪽에는 결혼할때 여자 돈 더쓰게 하는 새끼들 천지임 이게 다 경제력과 와꾸의 빻음에서 오는거다 고로 연봉 2억 이하 남자는 국적불문하고 걸러야 함,"['Racism', 'Appearance']","['Appearance', 'Racism']"
전라도 동성애자...끄덕끄덕,"['Gender', 'Origin']",['Origin']
"확실히 사회분위기가 남자가 어린 여자 만나면 좋은 소리 못 듣고, 여자가 어린 남자 만나면 연하남 만났다고 존나 축하해주는 분위기인터넷에서 죽치는 상폐년들이 이런 분위기 만드는 듯",['Age'],['Age']
남재준후보님 유세할 때 대변인했던 이애란박사님 같은 분이 지극히 정상적인 탈북민이지!,['Racism'],['Racism']
그때 못알아오면 죽는다,['VIOLENCE'],[]
내 주변에 아픈사람있으면 너무 슬플것 같아,['IMMORAL_NONE'],[]
자위년이 불안장애걸려서 활동중지됫어야했는데 애꿎은 미나가 ㅠㅠㅠ,['Disabled'],[]
네 오빠 가 원하신다면 최초로 개방할께요,['SEXUAL'],[]
나같으면 진작 자살했어,['CENSURE'],[]
맘에 안 들면 한 대 쳐라,['VIOLENCE'],[]
근데 우리나라 사람들한테 총기 허용하면 조현병 자식들이 바로 난사하고 다닐 것 같아서 무섭긴 해,['Disabled'],['Age']
대다수의 이슬람은 착하다고 하지만 그 착하다는 것들도 남에나라가서 이슬람대로 안해준다고 발광하는 것들임,"['Racism', 'Religion']","['Racism', 'Religion']"
응 어떻게 한 번만 안 되나,['SEXUAL'],[]
전체 교회를 욕먹이지마라. 예수로 위장한 사악한 인간들아. 성경에 손얹고 고개들어 십자가를 바라봐라 니들이 하는 짓이 옳은가?,['Religion'],['Religion']
우유나오는데 엄청 오래걸릴 것 같아,['SEXUAL'],[]
개독 까는떡밥 재밋다 계속해주라,['Religion'],['Religion']
개슬람 개독 사막잡신 동네 종교는 상종 못한다.,['Religion'],['Religion']
공공장소에서 큰 소리로 통화하는 병신 vs 정중하게 요청하는게 아닌 명령조로 지랄하는 틀딱어휴 ㅅㅂ 저 두 마리의 센징을 보니 한숨만 나오노,"['Racism', 'Age']",['Age']
난 국뽕이 인간적으로 너무 싫다 두유노 비티에스 ㅇㅈㄹ 진짜 전부 가스실에 넣고 몰살했으면 함,['profanity'],"['Appearance', 'Racism']"
와꾸........한남콘......,['Appearance'],"['Appearance', 'Racism']"
하다하다 이제는 넘의 나라 개인의 언론탄압까지 하고 지랄하노!,['profanity'],['Appearance']
못죽이냐 저새끼들 진짜?,['profanity'],['Appearance']
라떼파파 예전보다는 많아졌죠. 보기좋은 거 같아,['IMMORAL_NONE'],[]
"""개독교 사이비로 지정하고 폐단하라 나라를좀먹는 정신분열집단이다""",['Disabled'],['Religion']
특정시간대에만 틀딱드립이 무더기로 올라오고 댓글 민주화 많으면 지웠다 다시쓰고 진짜좆족 짱깨 우마오 드글드글...,"['Racism', 'Age']","['Age', 'Racism']"
흠....여기 틀니들 쓴댓글도 다른곳에서 보면 존나게웃길걸? ㅋㅋ,['Age'],['Age']
저 목사 세기 뇌에 왜구 기생충이 가득 들었구만...북상도 토착왜구와 게독의 환상의 콜라보레이션,"['Racism', 'Religion']","['Origin', 'Racism', 'Religion']"
"조선족 자체가 가짜 아닌가? 만주족들이 지들 만주족인거 숨기려고 언어도 비슷하다, 생긴것도 비슷해서 한국인 코스하는거",['Racism'],['Racism']
못생긴남들이 페미혐오한다=이젠 42언스가 되뿟노.,['Appearance'],['Appearance']
사스가 안산드레아스ㅋㅋㅋㅋㅋㅋㅋ,['Origin'],[]
전라도 분탕 개 쌕끼다 정말..,['Origin'],['Origin']
"sns에 말하는거 보면, #@인간및인간집단.인물.인물_무정보.남성#은 약간 정신 지체에 조증이 있는 것 같더라.",['Disabled'],['Disabled']
배역이 잘 어울리네,['IMMORAL_NONE'],[]
이놈은 나이 어린놈이 말하는 싸가지하고...,['Age'],['Age']
일베 계몽됐노 전에는 조선족 까는글쓰면 밴먹던데조선족짱깨 이시발새끼들은 나가 뒤져야함,['Racism'],['Racism']
아니 뭐 사진구도에 화장이면 딴 사람 되는건 순식간인데 이딴걸로 성형이니 어쩌니 ㅈㄹ들이냐 ㅂㅅ들 ㅋㄱㅋ,['Appearance'],['Appearance']
입사 동기이지만 A씨는 고졸이라는 이유로 진급 대상자가 아니래,['IMMORAL_NONE'],['Education']
진짜...나라꼬라지 하고는...휴... 일베나 오유보다 더 뭣같은 꼴값페미들..,['Appearance'],['Appearance']
해고뿐이냐 추방해라.. 씨발새끼들.. 지들 나라가서 실컷 기도 하라고 해라.,"['Racism', 'Religion']",[]
구혜선 안재현을 너무 사랑하네...꼭지도 못생긴게,['Appearance'],['Appearance']
상폐 선생년도 고교생 불러서 술마시는 마당에별로 놀랍지도 않다,['Age'],"['Age', 'Education']"
사장님 대머리 나이스 샷~ㅎ,['Disabled'],[]
요즘 급식들 맘마통이 급식이 아니네,['SEXUAL'],['Age']
모든 이슬람은 테러범이 아니다 하지만 테러범들은 이슬람이다,"['Racism', 'Religion']",['Religion']
저능아 막무가내 박사모 틀딱들과 돈독오른 먹사새끼들의 노예인 신도들이 끊임없이 보수에 들러붙어 괴롭히는구나아주 상진드기가 붙어버렸어,"['Age', 'Religion']",['Age']
이늠 물지마라 우파끝난다 페미코인탄 안정권라인 전라도다,['Origin'],['Origin']
근데 그것도 어느정도 외모가 되야지 똥송 + 키 작음 + 파오후 + 뿔테 + 머머리 라면 답 없다,['Racism'],['Appearance']
한국어 너무 잘하세요!,['IMMORAL_NONE'],[]
동성연애는 엄밀히따지면 공연음란죄임..존재자체가 그리고 그 존재를 인식시켜주는거자체가 죄임.,['Gender'],[]
조선족들이 전라도 사칭해서 더 국민분열시키는거도 있음물론 전라도새끼들이나 조선족바퀴벌레들이나 개찐또찐,"['Racism', 'Origin']","['Origin', 'Racism']"
아 비건이라고? 대단한 환경보호가 납셨네ㅋㅋㅋ,['IMMORAL_NONE'],[]
좆같이생겼네,['profanity'],[]
"""어이 .ㅂㅅ ㅅ들 한국이 망하게 생겼어 누굴 처다봐""",['Disabled'],"['Disabled', 'Gender', 'Racism']"
오지마 시발 개슬람 종자년놈들아,"['Racism', 'Religion']",['Religion']
개독이랑 똥꼬충이랑 자폭해라,"['Gender', 'Religion']",['Gender']
ㅋㅋㅋㅋㅋ 이래놓고 자기들이 피해자랜다 어휴 진짜 다 쓸어버리고 싶네 개독들 ㅉㅉㅉ,['Religion'],['Religion']
진짜 큣대에 내장 다 파열됐을듯,['VIOLENCE'],[]
내 얘기에 함부로 토달지마 손가락 잘라버릴테니!,['VIOLENCE'],['VIOLENCE']
바퀴벌레같은 민족 =짱깨,['Racism'],"['Origin', 'Racism']"
살면서 기독교충이랑 앱등이만 거르면 사교관계 8할은 성공한거랬음,['Religion'],"['Gender', 'Religion']"
